 [91945,95339)
 [91940,94592)
 [91939, )
 [91934, )
 [91932, )
 [91930, )
 [91927, )
 [91926, )
 [91925, )
 [91924, )
 [91918, )
 [91912,94720)
 [91903, )
 [91896, )
 [91889,96258)
 [91875,98414)
 [91873,96190)
 [91873, )
 [91868, )
 [91862, )
 [91852, )
 [91847, )
 [91845,92863)
 [91840, )
 [91833, )
 [91829,95375)
 [91822, )
 [91820, )
 [91812, )
 [91812, )
 [91810, )
 [91794, )
 [91794, )
 [91793, )
 [91790, )
 [91787, )
 [91784, )
 [91782, )
 [91781,96447)
 [91779, )
 [91777, )
 [91766, )
 [91754,94222)
 [91750,99279)
 [91750, )
 [91749, )
 [91748,97426)
 [91747, )
 [91744, )
 [91741, )
 [91735, )
 [91732, )
 [91731,92250)
 [91725,98015)
 [91714, )
 [91708, )
 [91706, )
 [91705, )
 [91705, )
 [91704, )
 [91703, )
 [91702, )
 [91698, )
 [91692, )
 [91682, )
 [91679, )
 [91678, )
 [91677, )
 [91670, )
 [91669, )
 [91659,93846)
 [91655,97110)
 [91641,92377)
 [91632, )
 [91619, )
 [91609, )
 [91606, )
 [91602, )
 [91601,98297)
 [91600, )
 [91595, )
 [91593, )
 [91591, )
 [91584,98160)
 [91582, )
 [91581,97729)
 [91578, )
 [91571, )
 [91568,97995)
 [91567, )
 [91556, )
 [91554,92098)
 [91548,93408)
 [91539, )
 [91537, )
 [91537, )
 [91535, )
 [91530,91684)
 [91525,98888)
 [91525, )
 [91524, )
 [91522,97783)
 [91519,99504)
 [91499, )
 [91493,96571)
 [91488, )
 [91476, )
 [91471, )
 [91469, )
 [91464, )
 [91461, )
 [91457, )
 [91451, )
 [91441,97433)
 [91437, )
 [91432,98543)
 [91432, )
 [91426, )
 [91425, )
 [91418,97292)
 [91418, )
 [91415, )
 [91411, )
 [91394,98684)
 [91393,93683)
 [91389, )
 [91376, )
 [91374, )
 [91372, )
 [91371,97190)
 [91367, )
 [91354, )
 [91347, )
 [91344, )
 [91340, )
 [91330, )
 [91330, )
 [91323, )
 [91321,93298)
 [91309, )
 [91306, )
 [91303, )
 [91303,92007)
 [91302,99488)
 [91300, )
 [91298, )
 [91296, )
 [91293, )
 [91293, )
 [91291, )
 [91290, )
 [91288, )
 [91282, )
 [91273, )
 [91263, )
 [91261,93348)
 [91259, )
 [91249, )
 [91249, )
 [91248, )
 [91245, )
 [91244, )
 [91242,92498)
 [91241, )
 [91237, )
 [91235, )
 [91233, )
 [91231, )
 [91215, )
 [91215, )
 [91206, )
 [91202, )
 [91202,91413)
 [91201,99038)
 [91182, )
 [91178, )
 [91176,99722)
 [91169, )
 [91163,98375)
 [91160, )
 [91159, )
 [91153, )
 [91143,92437)
 [91136, )
 [91132, )
 [91117, )
 [91116, )
 [91116, )
 [91115, )
 [91111,91442)
 [91110, )
 [91109, )
 [91108,93222)
 [91095,92977)
 [91092,91275)
 [91089, )
 [91087, )
 [91073, )
 [91062, )
 [91054, )
 [91044, )
 [91039, )
 [91038, )
 [91035, )
 [91028,97540)
 [91026, )
 [91022, )
 [91022, )
 [91007,93001)
 [91007, )
 [91005, )
 [91002, )
 [91002, )
 [90997, )
 [90994,94215)
 [90988, )
 [90983, )
 [90969, )
 [90966, )
 [90964, )
 [90964, )
 [90963, )
 [90957, )
 [90954,94174)
 [90952,91917)
 [90951, )
 [90951, )
 [90946, )
 [90944, )
 [90924, )
 [90919,92257)
 [90912, )
 [90904, )
 [90902, )
 [90898, )
 [90898, )
 [90896, )
 [90888, )
 [90885,94349)
 [90879, )
 [90878, )
 [90871, )
 [90867, )
 [90865, )
 [90865,99716)
 [90863, )
 [90850, )
 [90846, )
 [90840,99242)
 [90834,93043)
 [90833, )
 [90833, )
 [90830, )
 [90826,98566)
 [90825, )
 [90825, )
 [90818, )
 [90801, )
 [90799, )
 [90798,98205)
 [90791, )
 [90790, )
 [90788,95996)
 [90788, )
 [90781, )
 [90781, )
 [90778, )
 [90772, )
 [90769, )
 [90757,91072)
 [90753,95185)
 [90750, )
 [90742, )
 [90741,97808)
 [90741,98354)
 [90736, )
 [90721,95811)
 [90719, )
 [90716, )
 [90716, )
 [90715, )
 [90710, )
 [90710, )
 [90706, )
 [90704, )
 [90699, )
 [90694, )
 [90690, )
 [90689, )
 [90672, )
 [90658,91513)
 [90648, )
 [90643, )
 [90643, )
 [90641, )
 [90635,94650)
 [90627, )
 [90622, )
 [90618, )
 [90618, )
 [90614, )
 [90613, )
 [90611, )
 [90610, )
 [90607, )
 [90600,94613)
 [90599, )
 [90591, )
 [90582, )
 [90577, )
 [90562, )
 [90556, )
 [90551, )
 [90546, )
 [90534, )
 [90534, )
 [90531,96235)
 [90515, )
 [90511, )
 [90510, )
 [90496, )
 [90485, )
 [90480, )
 [90476, )
 [90470, )
 [90459, )
 [90453, )
 [90452, )
 [90450, )
 [90439,98485)
 [90423, )
 [90422,98561)
 [90421, )
 [90415,96168)
 [90413, )
 [90388, )
 [90372, )
 [90372, )
 [90371, )
 [90367,96685)
 [90363, )
 [90363, )
 [90344, )
 [90338, )
 [90334, )
 [90333, )
 [90331, )
 [90327,95034)
 [90325, )
 [90316,91893)
 [90296,92505)
 [90292, )
 [90291, )
 [90288, )
